Date,Close/Last,Volume,Open,High,Low
04/08/2022,$231.19,52478060,$239.17,$239.23,$230.6201
04/07/2022,$242.08,55799240,$244.41,$247.22,$234.78
04/06/2022,$244.07,70383260,$249.34,$253,$240.03
04/05/2022,$259.31,43661470,$272.54,$273.19,$258.2
04/04/2022,$273.6,39770780,$267.28,$275.58,$266.13
04/01/2022,$267.12,51723510,$273.75,$274.96,$262.67
03/31/2022,$272.86,52344020,$277.82,$282.48,$272.7
03/30/2022,$276.9,46348710,$283.04,$284.955,$275.03
03/29/2022,$286.56,48898440,$286.945,$289.46,$279.8
03/28/2022,$282.19,42549390,$277.555,$282.5,$272.06
03/25/2022,$276.92,57901620,$278.86,$283.58,$272.71
03/24/2022,$281.5,87737910,$261.66,$283.1999,$259.07
03/23/2022,$256.34,50211990,$261.26,$266.115,$255.7501
03/22/2022,$265.24,54700710,$267.27,$272.38,$260.72
03/21/2022,$267.34,59172710,$265.07,$271.5199,$259.67
03/18/2022,$264.53,73071860,$247.99,$265.6899,$246.24
03/17/2022,$247.66,47194120,$241.2,$248.42,$239.06
03/16/2022,$244.96,67142170,$235,$245.97,$231.72
03/15/2022,$229.73,49199570,$215.18,$230.38,$213.2201
03/14/2022,$213.3,38535420,$218.69,$222.62,$211.5901
03/11/2022,$221,36720860,$230.22,$231.45,$220.46
03/10/2022,$226.58,42806570,$225.31,$227.88,$218.82
03/09/2022,$230.14,49274200,$223.87,$232.2,$222.47
03/08/2022,$215.14,55746720,$213.09,$223.7299,$206.5
03/07/2022,$213.52,45082090,$228.17,$230.33,$213.3
03/04/2022,$229.36,43201070,$233.84,$236.8,$224.82
03/03/2022,$237.14,36509500,$242.615,$243.2599,$234.69
03/02/2022,$242.2,38964190,$237.56,$244.09,$234.15
03/01/2022,$234.77,41205600,$242.91,$243.77,$231.32
02/28/2022,$243.85,47731860,$239.92,$246.65,$237.0701
02/25/2022,$241.57,52886550,$237.21,$242.17,$233.81
02/24/2022,$237.48,73580060,$210.15,$238,$208.9
02/23/2022,$223.87,56651080,$238.02,$241.5499,$223.01
