Date,Close/Last,Volume,Open,High,Low
04/08/2022,$39.35,22086840,$38.35,$40.05,$38.1689
04/07/2022,$38.72,28297580,$39.29,$39.53,$37.6
04/06/2022,$39.5,29254870,$40.79,$41.33,$39.48
04/05/2022,$41.42,19853870,$42.96,$43.1599,$41.32
04/04/2022,$43.18,12598540,$43.27,$43.42,$42.53
04/01/2022,$42.96,16791460,$44.16,$44.45,$42.41
03/31/2022,$43.74,17335040,$44.84,$44.9,$43.74
03/30/2022,$45.22,12818820,$45.64,$46.03,$45.04
03/29/2022,$46.26,16784110,$45.41,$46.74,$45.24
03/28/2022,$44.22,12175190,$43.9,$44.25,$43.28
03/25/2022,$43.65,10361180,$44.275,$44.31,$43.395
03/24/2022,$44.35,11106220,$44.05,$44.86,$43.95
03/23/2022,$43.78,15142280,$44,$44.52,$43.77
03/22/2022,$44.56,14703040,$44.24,$45.27,$44.09
03/21/2022,$43.61,17903890,$44.28,$44.67,$43.22
03/18/2022,$44.82,19834430,$43.23,$45.04,$43.13
03/17/2022,$43.66,13909000,$42.92,$43.83,$42.6
03/16/2022,$43.85,17014500,$43,$44.17,$42.37
03/15/2022,$42.13,16051030,$40.83,$42.25,$40.8
03/14/2022,$40.83,18913970,$41.74,$42.43,$40.37
03/11/2022,$41.51,13617910,$42.08,$42.3399,$41.48
03/10/2022,$41.85,17991220,$41.405,$42.23,$40.855
03/09/2022,$42.28,21309050,$42.26,$42.86,$41.8
03/08/2022,$40.2,24145080,$40.84,$42.31,$39.955
03/07/2022,$39.83,25949910,$42.29,$42.44,$39.75
03/04/2022,$42.4,26543550,$44.03,$44.16,$41.99
03/03/2022,$44.9,18956330,$46.21,$46.74,$44.605
03/02/2022,$46.32,19006430,$44.68,$46.6,$44.56
03/01/2022,$44.52,21534170,$46.02,$46.1597,$44.155
02/28/2022,$46.72,18226740,$46.24,$47.12,$45.84
02/25/2022,$47.43,13465060,$46.35,$47.475,$45.85
02/24/2022,$46.35,21003680,$44.15,$46.405,$43.91
02/23/2022,$46.38,13667730,$47.26,$48.295,$46.26
02/22/2022,$46.77,19620270,$47.78,$47.94,$46.155
02/18/2022,$48.6,16615900,$48.92,$49.21,$47.92
02/17/2022,$48.82,13482820,$49.81,$49.8494,$48.66
02/16/2022,$50.43,13865520,$49.43,$50.565,$49.26
02/15/2022,$49.67,15242460,$49.36,$49.91,$48.93
02/14/2022,$48.4,17549830,$48.87,$49.19,$48
02/11/2022,$48.83,20183820,$50.64,$50.97,$48.5405
02/10/2022,$50.34,17017570,$49.73,$51.785,$49.6
02/09/2022,$50.72,24290770,$50.31,$51.68,$50.16
02/08/2022,$49.46,38629680,$48.74,$49.88,$47.58
02/07/2022,$50.71,18046540,$51.49,$52,$50.52
02/04/2022,$51.29,22794900,$51.62,$51.85,$50.515
02/03/2022,$53.11,23751830,$52.6,$54.42,$52.55
02/02/2022,$53.5,34371690,$54.92,$55.55,$51.68
02/01/2022,$54.07,23169550,$52.85,$54.24,$52.12
